"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","873","","yandex.CreateUserTest","","yandex.CreateUserTest","","createUserAlreadyRegistered",""
"passed","","","988","","yandex.AuthorizationUserTest","","yandex.AuthorizationUserTest","","userAuthorizationWithWrongPassword",""
"passed","","","909","","yandex.ChangeUserDataTest","","yandex.ChangeUserDataTest","","changeUserDataWithoutAuthorization[Тестовые данные: marcela.schamberger@gmail.com, alfonso.tillman]",""
"passed","","","1269","","yandex.CreateOrderTest","","yandex.CreateOrderTest","","creatingOrderWithAuthorized[Тестовые данные: true, false]",""
"passed","","","1418","","yandex.CreateOrderTest","","yandex.CreateOrderTest","","creatingOrderWithAuthorized[Тестовые данные: false, false]",""
"passed","","","1040","","yandex.AuthorizationUserTest","","yandex.AuthorizationUserTest","","successUserAuthorization",""
"passed","","","312","","yandex.CreateOrderTest","","yandex.CreateOrderTest","","creatingOrderWithoutAuthorized[Тестовые данные: false, false]",""
"passed","","","1680","","yandex.ChangeUserDataTest","","yandex.ChangeUserDataTest","","changeUserDataWithAuthorization[Тестовые данные: kristopher.huel@yahoo.com, null]",""
"passed","","","903","","yandex.ChangeUserDataTest","","yandex.ChangeUserDataTest","","changeUserDataWithoutAuthorization[Тестовые данные: null, yevette.swaniawski]",""
"passed","","","224","","yandex.CreateUserParametrizedTest","","yandex.CreateUserParametrizedTest","","createUserEmptyFields[Тестовые данные: null, 45eyila, alton.mckenzie]",""
"passed","","","224","","yandex.CreateUserParametrizedTest","","yandex.CreateUserParametrizedTest","","createUserEmptyFields[Тестовые данные: reuben.bernhard@yahoo.com, null, emogene.stokes]",""
"passed","","","265","","yandex.CreateOrderTest","","yandex.CreateOrderTest","","creatingOrderWithoutAuthorized[Тестовые данные: true, false]",""
"passed","","","1918","","yandex.CreateOrderTest","","yandex.CreateOrderTest","","creatingOrderWithAuthorized[Тестовые данные: true, true]",""
"passed","","","240","","yandex.CreateUserParametrizedTest","","yandex.CreateUserParametrizedTest","","createUserEmptyFields[Тестовые данные: jewel.kuhlman@gmail.com, fqbc3ao, null]",""
"passed","","","10217","","yandex.ReceivingOrdersTest","","yandex.ReceivingOrdersTest","","receivingOrderFromAuthorizedUser",""
"passed","","","232","","yandex.AuthorizationUserTest","","yandex.AuthorizationUserTest","","userAuthorizationWithWrongLogin",""
"passed","","","662","","yandex.CreateUserTest","","yandex.CreateUserTest","","successfulCreateUser",""
"passed","","","1469","","yandex.ChangeUserDataTest","","yandex.ChangeUserDataTest","","changeUserDataWithAuthorization[Тестовые данные: null, yevette.swaniawski]",""
"passed","","","720","","yandex.CreateOrderTest","","yandex.CreateOrderTest","","creatingOrderWithoutAuthorized[Тестовые данные: true, true]",""
"passed","","","1455","","yandex.ChangeUserDataTest","","yandex.ChangeUserDataTest","","changeUserDataWithAuthorization[Тестовые данные: marcela.schamberger@gmail.com, alfonso.tillman]",""
"passed","","","268","","yandex.ReceivingOrdersTest","","yandex.ReceivingOrdersTest","","receivingOrderFromUnauthorizedUser",""
"passed","","","2407","","yandex.ChangeUserDataTest","","yandex.ChangeUserDataTest","","changeUserDataWithoutAuthorization[Тестовые данные: kristopher.huel@yahoo.com, null]",""
